GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurredLosses,CumPaidLoss,BulkLoss,EarnedPremDIR,EarnedPremCeded,EarnedPremNet,Single,PostedReserves2007
669,Scpie Indemnity Co,1998,1998,1,154355,9302,102201,139081,4790,134291,0,240662.622
669,Scpie Indemnity Co,1998,1999,2,144092,64527,20816,139081,4790,134291,0,240662.622
669,Scpie Indemnity Co,1998,2000,3,144211,111292,13070,139081,4790,134291,0,240662.622
669,Scpie Indemnity Co,1998,2001,4,139615,121581,6089,139081,4790,134291,0,240662.622
669,Scpie Indemnity Co,1998,2002,5,136674,129110,3412,139081,4790,134291,0,240662.622
669,Scpie Indemnity Co,1998,2003,6,136360,133078,1928,139081,4790,134291,0,240662.622
669,Scpie Indemnity Co,1998,2004,7,136323,133251,1519,139081,4790,134291,0,240662.622
669,Scpie Indemnity Co,1998,2005,8,137493,133916,1218,139081,4790,134291,0,240662.622
669,Scpie Indemnity Co,1998,2006,9,135842,135139,674,139081,4790,134291,0,240662.622
669,Scpie Indemnity Co,1998,2007,10,135392,135051,340,139081,4790,134291,0,240662.622
683,Promutual Grp,1998,1998,1,31812,477,14440,20296,1336,18960,0,426046.961
683,Promutual Grp,1998,1999,2,29716,2997,6888,20296,1336,18960,0,426046.961
683,Promutual Grp,1998,2000,3,28715,6851,3349,20296,1336,18960,0,426046.961
683,Promutual Grp,1998,2001,4,30439,16597,1188,20296,1336,18960,0,426046.961
683,Promutual Grp,1998,2002,5,31632,21747,-1430,20296,1336,18960,0,426046.961
683,Promutual Grp,1998,2003,6,31538,27687,-1742,20296,1336,18960,0,426046.961
683,Promutual Grp,1998,2004,7,32272,29774,132,20296,1336,18960,0,426046.961
683,Promutual Grp,1998,2005,8,32871,31720,750,20296,1336,18960,0,426046.961
683,Promutual Grp,1998,2006,9,32435,31843,572,20296,1336,18960,0,426046.961
683,Promutual Grp,1998,2007,10,32545,32545,-20,20296,1336,18960,0,426046.961
683,Promutual Grp,1999,1999,1,33762,419,17849,21319,1673,19646,0,426046.961
683,Promutual Grp,1999,2000,2,31154,3261,10788,21319,1673,19646,0,426046.961
683,Promutual Grp,1999,2001,3,28653,7898,4691,21319,1673,19646,0,426046.961
683,Promutual Grp,1999,2002,4,26601,12331,197,21319,1673,19646,0,426046.961
683,Promutual Grp,1999,2003,5,24238,16156,-1821,21319,1673,19646,0,426046.961
683,Promutual Grp,1999,2004,6,22984,19027,-938,21319,1673,19646,0,426046.961
683,Promutual Grp,1999,2005,7,23558,21103,-116,21319,1673,19646,0,426046.961
683,Promutual Grp,1999,2006,8,24153,22607,142,21319,1673,19646,0,426046.961
683,Promutual Grp,1999,2007,9,23445,22704,251,21319,1673,19646,0,426046.961
683,Promutual Grp,1999,2008,10,23318,22723,116,21319,1673,19646,0,426046.961
683,Promutual Grp,2000,2000,1,89240,238,87366,79420,10564,68856,0,426046.961
683,Promutual Grp,2000,2001,2,90308,1112,77772,79420,10564,68856,0,426046.961
683,Promutual Grp,2000,2002,3,89871,4680,57448,79420,10564,68856,0,426046.961
683,Promutual Grp,2000,2003,4,89644,10039,21720,79420,10564,68856,0,426046.961
683,Promutual Grp,2000,2004,5,95524,23875,12647,79420,10564,68856,0,426046.961
683,Promutual Grp,2000,2005,6,90388,45940,7095,79420,10564,68856,0,426046.961
683,Promutual Grp,2000,2006,7,82332,61825,-25,79420,10564,68856,0,426046.961
683,Promutual Grp,2000,2007,8,87680,83246,35,79420,10564,68856,0,426046.961
683,Promutual Grp,2000,2008,9,91167,90720,447,79420,10564,68856,0,426046.961
683,Promutual Grp,2000,2009,10,91559,91099,460,79420,10564,68856,0,426046.961
683,Promutual Grp,2001,2001,1,105329,243,102165,90728,17532,73196,0,426046.961
683,Promutual Grp,2001,2002,2,106525,1528,89423,90728,17532,73196,0,426046.961
683,Promutual Grp,2001,2003,3,107544,4663,61131,90728,17532,73196,0,426046.961
