GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurredLosses,CumPaidLoss,BulkLoss,EarnedPremDIR,EarnedPremCeded,EarnedPremNet,Single,PostedReserves2007
337,California Cas Grp,1998,1998,1,0,0,0,0,0,0,0,6.381
337,California Cas Grp,1998,1999,2,0,0,0,0,0,0,0,6.381
337,California Cas Grp,1998,2000,3,0,0,0,0,0,0,0,6.381
337,California Cas Grp,1998,2001,4,0,0,0,0,0,0,0,6.381
337,California Cas Grp,1998,2002,5,0,0,0,0,0,0,0,6.381
337,California Cas Grp,1998,2003,6,0,0,0,0,0,0,0,6.381
337,California Cas Grp,1998,2004,7,0,0,0,0,0,0,0,6.381
337,California Cas Grp,1998,2005,8,0,0,0,0,0,0,0,6.381
337,California Cas Grp,1998,2006,9,0,0,0,0,0,0,0,6.381
337,California Cas Grp,1998,2007,10,0,0,0,0,0,0,0,6.381
337,California Cas Grp,1999,1999,1,4,4,0,0,0,0,0,6.381
337,California Cas Grp,1999,2000,2,9,5,0,0,0,0,0,6.381
337,California Cas Grp,1999,2001,3,25,25,0,0,0,0,0,6.381
337,California Cas Grp,1999,2002,4,1,1,0,0,0,0,0,6.381
337,California Cas Grp,1999,2003,5,1,1,0,0,0,0,0,6.381
337,California Cas Grp,1999,2004,6,1,1,0,0,0,0,0,6.381
337,California Cas Grp,1999,2005,7,1,1,0,0,0,0,0,6.381
337,California Cas Grp,1999,2006,8,1,1,0,0,0,0,0,6.381
337,California Cas Grp,1999,2007,9,1,1,0,0,0,0,0,6.381
337,California Cas Grp,1999,2008,10,1,1,0,0,0,0,0,6.381
337,California Cas Grp,2000,2000,1,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2000,2001,2,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2000,2002,3,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2000,2003,4,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2000,2004,5,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2000,2005,6,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2000,2006,7,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2000,2007,8,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2000,2008,9,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2000,2009,10,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2001,2001,1,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2001,2002,2,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2001,2003,3,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2001,2004,4,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2001,2005,5,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2001,2006,6,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2001,2007,7,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2001,2008,8,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2001,2009,9,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2001,2010,10,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2002,2002,1,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2002,2003,2,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2002,2004,3,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2002,2005,4,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2002,2006,5,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2002,2007,6,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2002,2008,7,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2002,2009,8,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2002,2010,9,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2002,2011,10,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2003,2003,1,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2003,2004,2,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2003,2005,3,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2003,2006,4,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2003,2007,5,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2003,2008,6,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2003,2009,7,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2003,2010,8,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2003,2011,9,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2003,2012,10,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2004,2004,1,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2004,2005,2,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2004,2006,3,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2004,2007,4,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2004,2008,5,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2004,2009,6,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2004,2010,7,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2004,2011,8,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2004,2012,9,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2004,2013,10,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2005,2005,1,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2005,2006,2,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2005,2007,3,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2005,2008,4,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2005,2009,5,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2005,2010,6,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2005,2011,7,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2005,2012,8,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2005,2013,9,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2005,2014,10,0,0,0,0,0,0,0,6.381
337,California Cas Grp,2006,2006,1,6,0,6,16,0,16,0,6.381
337,California Cas Grp,2006,2007,2,0,0,0,16,0,16,0,6.381
337,California Cas Grp,2006,2008,3,0,0,0,16,0,16,0,6.381
337,California Cas Grp,2006,2009,4,0,0,0,16,0,16,0,6.381
337,California Cas Grp,2006,2010,5,0,0,0,16,0,16,0,6.381
337,California Cas Grp,2006,2011,6,0,0,0,16,0,16,0,6.381
337,California Cas Grp,2006,2012,7,0,0,0,16,0,16,0,6.381
337,California Cas Grp,2006,2013,8,0,0,0,16,0,16,0,6.381
337,California Cas Grp,2006,2014,9,0,0,0,16,0,16,0,6.381
337,California Cas Grp,2006,2015,10,0,0,0,16,0,16,0,6.381
337,California Cas Grp,2007,2007,1,6,0,6,49,0,49,0,6.381
337,California Cas Grp,2007,2008,2,0,0,0,49,0,49,0,6.381
337,California Cas Grp,2007,2009,3,0,0,0,49,0,49,0,6.381
337,California Cas Grp,2007,2010,4,0,0,0,49,0,49,0,6.381
337,California Cas Grp,2007,2011,5,0,0,0,49,0,49,0,6.381
337,California Cas Grp,2007,2012,6,0,0,0,49,0,49,0,6.381
337,California Cas Grp,2007,2013,7,0,0,0,49,0,49,0,6.381
337,California Cas Grp,2007,2014,8,0,0,0,49,0,49,0,6.381
337,California Cas Grp,2007,2015,9,0,0,0,49,0,49,0,6.381
337,California Cas Grp,2007,2016,10,0,0,0,49,0,49,0,6.381
460,Buckeye Ins Grp,1998,1998,1,692,74,479,1399,429,970,0,616.76
460,Buckeye Ins Grp,1998,1999,2,628,413,41,1399,429,970,0,616.76
460,Buckeye Ins Grp,1998,2000,3,996,808,67,1399,429,970,0,616.76
460,Buckeye Ins Grp,1998,2001,4,978,871,0,1399,429,970,0,616.76
460,Buckeye Ins Grp,1998,2002,5,950,931,0,1399,429,970,0,616.76
460,Buckeye Ins Grp,1998,2003,6,947,948,0,1399,429,970,0,616.76
460,Buckeye Ins Grp,1998,2004,7,864,845,0,1399,429,970,0,616.76
460,Buckeye Ins Grp,1998,2005,8,845,852,0,1399,429,970,0,616.76
460,Buckeye Ins Grp,1998,2006,9,852,861,0,1399,429,970,0,616.76
460,Buckeye Ins Grp,1998,2007,10,845,845,0,1399,429,970,0,616.76
460,Buckeye Ins Grp,1999,1999,1,777,129,401,1275,459,816,0,616.76
460,Buckeye Ins Grp,1999,2000,2,562,272,174,1275,459,816,0,616.76
460,Buckeye Ins Grp,1999,2001,3,573,404,40,1275,459,816,0,616.76
460,Buckeye Ins Grp,1999,2002,4,512,464,0,1275,459,816,0,616.76
460,Buckeye Ins Grp,1999,2003,5,505,505,0,1275,459,816,0,616.76
460,Buckeye Ins Grp,1999,2004,6,505,505,0,1275,459,816,0,616.76
460,Buckeye Ins Grp,1999,2005,7,527,527,0,1275,459,816,0,616.76
460,Buckeye Ins Grp,1999,2006,8,523,523,0,1275,459,816,0,616.76
460,Buckeye Ins Grp,1999,2007,9,549,549,0,1275,459,816,0,616.76
460,Buckeye Ins Grp,1999,2008,10,549,549,0,1275,459,816,0,616.76
460,Buckeye Ins Grp,2000,2000,1,861,92,460,1022,357,665,0,616.76
460,Buckeye Ins Grp,2000,2001,2,741,257,144,1022,357,665,0,616.76
460,Buckeye Ins Grp,2000,2002,3,789,540,42,1022,357,665,0,616.76
460,Buckeye Ins Grp,2000,2003,4,773,732,1,1022,357,665,0,616.76
460,Buckeye Ins Grp,2000,2004,5,799,799,0,1022,357,665,0,616.76
460,Buckeye Ins Grp,2000,2005,6,779,779,0,1022,357,665,0,616.76
460,Buckeye Ins Grp,2000,2006,7,779,779,0,1022,357,665,0,616.76
460,Buckeye Ins Grp,2000,2007,8,760,760,0,1022,357,665,0,616.76
460,Buckeye Ins Grp,2000,2008,9,760,760,0,1022,357,665,0,616.76
460,Buckeye Ins Grp,2000,2009,10,760,760,0,1022,357,665,0,616.76
