GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurredLosses,CumPaidLoss,BulkLoss,EarnedPremDIR,EarnedPremCeded,EarnedPremNet,Single,PostedReserves2007
78,Federated Mut Grp,1998,1998,1,29510,2220,19101,29573,0,29573,0,92391.12
78,Federated Mut Grp,1998,1999,2,26346,4664,12854,29573,0,29573,0,92391.12
78,Federated Mut Grp,1998,2000,3,19418,8719,4640,29573,0,29573,0,92391.12
78,Federated Mut Grp,1998,2001,4,13941,11279,-1324,29573,0,29573,0,92391.12
78,Federated Mut Grp,1998,2002,5,16984,13042,550,29573,0,29573,0,92391.12
78,Federated Mut Grp,1998,2003,6,18460,13884,1226,29573,0,29573,0,92391.12
78,Federated Mut Grp,1998,2004,7,17021,14242,1246,29573,0,29573,0,92391.12
78,Federated Mut Grp,1998,2005,8,16123,14311,1088,29573,0,29573,0,92391.12
78,Federated Mut Grp,1998,2006,9,16116,14498,1025,29573,0,29573,0,92391.12
78,Federated Mut Grp,1998,2007,10,15298,14669,581,29573,0,29573,0,92391.12
78,Federated Mut Grp,1999,1999,1,20060,1780,15324,26274,0,26274,0,92391.12
78,Federated Mut Grp,1999,2000,2,13806,2820,4548,26274,0,26274,0,92391.12
78,Federated Mut Grp,1999,2001,3,15043,5018,2402,26274,0,26274,0,92391.12
78,Federated Mut Grp,1999,2002,4,12359,8302,180,26274,0,26274,0,92391.12
78,Federated Mut Grp,1999,2003,5,12888,9500,596,26274,0,26274,0,92391.12
78,Federated Mut Grp,1999,2004,6,11989,11318,262,26274,0,26274,0,92391.12
78,Federated Mut Grp,1999,2005,7,15677,14370,869,26274,0,26274,0,92391.12
78,Federated Mut Grp,1999,2006,8,14373,14588,703,26274,0,26274,0,92391.12
78,Federated Mut Grp,1999,2007,9,15061,13988,641,26274,0,26274,0,92391.12
78,Federated Mut Grp,1999,2008,10,14870,14039,661,26274,0,26274,0,92391.12
78,Federated Mut Grp,2000,2000,1,20001,2201,12561,27444,0,27444,0,92391.12
78,Federated Mut Grp,2000,2001,2,20582,5396,7179,27444,0,27444,0,92391.12
78,Federated Mut Grp,2000,2002,3,20138,8472,3341,27444,0,27444,0,92391.12
78,Federated Mut Grp,2000,2003,4,21337,14172,2919,27444,0,27444,0,92391.12
78,Federated Mut Grp,2000,2004,5,19398,15737,1223,27444,0,27444,0,92391.12
78,Federated Mut Grp,2000,2005,6,21303,17897,1637,27444,0,27444,0,92391.12
