GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurredLosses,CumPaidLoss,BulkLoss,EarnedPremDIR,EarnedPremCeded,EarnedPremNet,Single,PostedReserves2007
86,Allstate Ins Co Grp,1998,1998,1,10079,1201,1518,7133,-860,7993,0,135699.214
86,Allstate Ins Co Grp,1998,1999,2,9643,2652,240,7133,-860,7993,0,135699.214
86,Allstate Ins Co Grp,1998,2000,3,3207,3172,13,7133,-860,7993,0,135699.214
86,Allstate Ins Co Grp,1998,2001,4,3202,3178,8,7133,-860,7993,0,135699.214
86,Allstate Ins Co Grp,1998,2002,5,3197,3180,8,7133,-860,7993,0,135699.214
86,Allstate Ins Co Grp,1998,2003,6,3181,3181,0,7133,-860,7993,0,135699.214
86,Allstate Ins Co Grp,1998,2004,7,3181,3181,0,7133,-860,7993,0,135699.214
86,Allstate Ins Co Grp,1998,2005,8,3181,3181,0,7133,-860,7993,0,135699.214
86,Allstate Ins Co Grp,1998,2006,9,3201,3201,0,7133,-860,7993,0,135699.214
86,Allstate Ins Co Grp,1998,2007,10,3200,3200,0,7133,-860,7993,0,135699.214
86,Allstate Ins Co Grp,1999,1999,1,12261,741,6487,7703,-229,7932,0,135699.214
86,Allstate Ins Co Grp,1999,2000,2,836,820,6,7703,-229,7932,0,135699.214
86,Allstate Ins Co Grp,1999,2001,3,834,823,5,7703,-229,7932,0,135699.214
86,Allstate Ins Co Grp,1999,2002,4,825,825,0,7703,-229,7932,0,135699.214
86,Allstate Ins Co Grp,1999,2003,5,825,825,0,7703,-229,7932,0,135699.214
86,Allstate Ins Co Grp,1999,2004,6,825,825,0,7703,-229,7932,0,135699.214
86,Allstate Ins Co Grp,1999,2005,7,825,825,0,7703,-229,7932,0,135699.214
86,Allstate Ins Co Grp,1999,2006,8,825,825,0,7703,-229,7932,0,135699.214
86,Allstate Ins Co Grp,1999,2007,9,825,825,0,7703,-229,7932,0,135699.214
86,Allstate Ins Co Grp,1999,2008,10,825,825,0,7703,-229,7932,0,135699.214
86,Allstate Ins Co Grp,2000,2000,1,-621,-635,9,320,40,280,0,135699.214
86,Allstate Ins Co Grp,2000,2001,2,-629,-634,2,320,40,280,0,135699.214
86,Allstate Ins Co Grp,2000,2002,3,-633,-633,0,320,40,280,0,135699.214
86,Allstate Ins Co Grp,2000,2003,4,-633,-633,0,320,40,280,0,135699.214
86,Allstate Ins Co Grp,2000,2004,5,-633,-633,0,320,40,280,0,135699.214
86,Allstate Ins Co Grp,2000,2005,6,-633,-633,0,320,40,280,0,135699.214
86,Allstate Ins Co Grp,2000,2006,7,-633,-633,0,320,40,280,0,135699.214
86,Allstate Ins Co Grp,2000,2007,8,-633,-633,0,320,40,280,0,135699.214
86,Allstate Ins Co Grp,2000,2008,9,-633,-633,0,320,40,280,0,135699.214
86,Allstate Ins Co Grp,2000,2009,10,-633,-633,0,320,40,280,0,135699.214
86,Allstate Ins Co Grp,2001,2001,1,0,0,0,114869,-114,114983,0,135699.214
86,Allstate Ins Co Grp,2001,2002,2,3,1,1,114869,-114,114983,0,135699.214
86,Allstate Ins Co Grp,2001,2003,3,1,1,0,114869,-114,114983,0,135699.214
86,Allstate Ins Co Grp,2001,2004,4,1,1,0,114869,-114,114983,0,135699.214
86,Allstate Ins Co Grp,2001,2005,5,4,4,0,114869,-114,114983,0,135699.214
86,Allstate Ins Co Grp,2001,2006,6,1,1,0,114869,-114,114983,0,135699.214
86,Allstate Ins Co Grp,2001,2007,7,2,2,0,114869,-114,114983,0,135699.214
86,Allstate Ins Co Grp,2001,2008,8,2,2,0,114869,-114,114983,0,135699.214
86,Allstate Ins Co Grp,2001,2009,9,1,1,0,114869,-114,114983,0,135699.214
86,Allstate Ins Co Grp,2001,2010,10,1,1,0,114869,-114,114983,0,135699.214
86,Allstate Ins Co Grp,2002,2002,1,3,1,1,-109,227,-336,0,135699.214
86,Allstate Ins Co Grp,2002,2003,2,1,1,0,-109,227,-336,0,135699.214
86,Allstate Ins Co Grp,2002,2004,3,1,1,0,-109,227,-336,0,135699.214
86,Allstate Ins Co Grp,2002,2005,4,1,1,0,-109,227,-336,0,135699.214
86,Allstate Ins Co Grp,2002,2006,5,1,1,0,-109,227,-336,0,135699.214
86,Allstate Ins Co Grp,2002,2007,6,1,1,0,-109,227,-336,0,135699.214
86,Allstate Ins Co Grp,2002,2008,7,1,1,0,-109,227,-336,0,135699.214
86,Allstate Ins Co Grp,2002,2009,8,1,1,0,-109,227,-336,0,135699.214
86,Allstate Ins Co Grp,2002,2010,9,1,1,0,-109,227,-336,0,135699.214
86,Allstate Ins Co Grp,2002,2011,10,1,1,0,-109,227,-336,0,135699.214
86,Allstate Ins Co Grp,2003,2003,1,0,0,0,592,770,-178,0,135699.214
86,Allstate Ins Co Grp,2003,2004,2,0,0,0,592,770,-178,0,135699.214
86,Allstate Ins Co Grp,2003,2005,3,1,1,0,592,770,-178,0,135699.214
86,Allstate Ins Co Grp,2003,2006,4,3,3,0,592,770,-178,0,135699.214
86,Allstate Ins Co Grp,2003,2007,5,3,3,0,592,770,-178,0,135699.214
86,Allstate Ins Co Grp,2003,2008,6,3,3,0,592,770,-178,0,135699.214
86,Allstate Ins Co Grp,2003,2009,7,3,3,0,592,770,-178,0,135699.214
86,Allstate Ins Co Grp,2003,2010,8,3,3,0,592,770,-178,0,135699.214
86,Allstate Ins Co Grp,2003,2011,9,3,3,0,592,770,-178,0,135699.214
86,Allstate Ins Co Grp,2003,2012,10,3,3,0,592,770,-178,0,135699.214
86,Allstate Ins Co Grp,2004,2004,1,0,0,0,240,88,152,0,135699.214
86,Allstate Ins Co Grp,2004,2005,2,0,0,0,240,88,152,0,135699.214
86,Allstate Ins Co Grp,2004,2006,3,0,0,0,240,88,152,0,135699.214
86,Allstate Ins Co Grp,2004,2007,4,0,0,0,240,88,152,0,135699.214
86,Allstate Ins Co Grp,2004,2008,5,0,0,0,240,88,152,0,135699.214
86,Allstate Ins Co Grp,2004,2009,6,0,0,0,240,88,152,0,135699.214
86,Allstate Ins Co Grp,2004,2010,7,0,0,0,240,88,152,0,135699.214
86,Allstate Ins Co Grp,2004,2011,8,0,0,0,240,88,152,0,135699.214
86,Allstate Ins Co Grp,2004,2012,9,0,0,0,240,88,152,0,135699.214
86,Allstate Ins Co Grp,2004,2013,10,0,0,0,240,88,152,0,135699.214
86,Allstate Ins Co Grp,2005,2005,1,0,0,0,475,20,455,0,135699.214
86,Allstate Ins Co Grp,2005,2006,2,3,3,0,475,20,455,0,135699.214
86,Allstate Ins Co Grp,2005,2007,3,3,3,0,475,20,455,0,135699.214
86,Allstate Ins Co Grp,2005,2008,4,3,3,0,475,20,455,0,135699.214
86,Allstate Ins Co Grp,2005,2009,5,3,3,0,475,20,455,0,135699.214
86,Allstate Ins Co Grp,2005,2010,6,3,3,0,475,20,455,0,135699.214
86,Allstate Ins Co Grp,2005,2011,7,0,0,0,475,20,455,0,135699.214
86,Allstate Ins Co Grp,2005,2012,8,0,0,0,475,20,455,0,135699.214
86,Allstate Ins Co Grp,2005,2013,9,0,0,0,475,20,455,0,135699.214
86,Allstate Ins Co Grp,2005,2014,10,0,0,0,475,20,455,0,135699.214
86,Allstate Ins Co Grp,2006,2006,1,0,0,0,-219,0,-219,0,135699.214
86,Allstate Ins Co Grp,2006,2007,2,0,0,0,-219,0,-219,0,135699.214
86,Allstate Ins Co Grp,2006,2008,3,0,0,0,-219,0,-219,0,135699.214
86,Allstate Ins Co Grp,2006,2009,4,0,0,0,-219,0,-219,0,135699.214
86,Allstate Ins Co Grp,2006,2010,5,0,0,0,-219,0,-219,0,135699.214
86,Allstate Ins Co Grp,2006,2011,6,0,0,0,-219,0,-219,0,135699.214
86,Allstate Ins Co Grp,2006,2012,7,0,0,0,-219,0,-219,0,135699.214
86,Allstate Ins Co Grp,2006,2013,8,0,0,0,-219,0,-219,0,135699.214
86,Allstate Ins Co Grp,2006,2014,9,0,0,0,-219,0,-219,0,135699.214
86,Allstate Ins Co Grp,2006,2015,10,0,0,0,-219,0,-219,0,135699.214
86,Allstate Ins Co Grp,2007,2007,1,0,0,0,238,1,237,0,135699.214
86,Allstate Ins Co Grp,2007,2008,2,0,0,0,238,1,237,0,135699.214
86,Allstate Ins Co Grp,2007,2009,3,0,0,0,238,1,237,0,135699.214
86,Allstate Ins Co Grp,2007,2010,4,0,0,0,238,1,237,0,135699.214
86,Allstate Ins Co Grp,2007,2011,5,0,0,0,238,1,237,0,135699.214
86,Allstate Ins Co Grp,2007,2012,6,0,0,0,238,1,237,0,135699.214
86,Allstate Ins Co Grp,2007,2013,7,0,0,0,238,1,237,0,135699.214
86,Allstate Ins Co Grp,2007,2014,8,0,0,0,238,1,237,0,135699.214
86,Allstate Ins Co Grp,2007,2015,9,0,0,0,238,1,237,0,135699.214
86,Allstate Ins Co Grp,2007,2016,10,0,0,0,238,1,237,0,135699.214
337,California Cas Grp,1998,1998,1,12686,2538,6979,10295,529,9766,0,33256.63
