line,line_label,GRCODE,GRNAME,paid_to_date,posted_reserve,carried_total,sim_mean_ultimate,sim_p50_ultimate,sim_p75_ultimate,sim_p90_ultimate,sim_p95_ultimate,coeff_of_variation,prob_reserve_shortfall
wkcomp,Workers' Compensation,86,Allstate Ins Co Grp,4034,135699.214,139733.214,4038.5284699305257,4033.803358667805,4040.837835472863,4052.7335207747587,4058.7899513479806,0.0026182763351872296,0.0
wkcomp,Workers' Compensation,337,California Cas Grp,12947,33256.63,46203.63,13137.136525065038,13094.364873266935,13173.699638761791,13346.990784676256,13435.23407696587,0.010464986334318048,0.0
wkcomp,Workers' Compensation,353,Celina Mut Grp,6187,3246.756,9433.756,7573.058300731659,7328.3130431672225,7994.8834400113665,8698.330687960095,9114.97403226906,0.1084580227597343,0.031
wkcomp,Workers' Compensation,671,Farm Bureau Of MI Grp,86820,42568.044,129388.044,114726.27798956394,114735.60587682479,116287.96178150101,117654.63889878347,118460.02313604142,0.019922942708908403,0.0
wkcomp,Workers' Compensation,965,Secura Ins Co,200943,73972.566,274915.566,258095.31778440968,257848.67977461146,260728.48584475307,263428.31357096497,265049.4589770874,0.015479344496898787,0.0
wkcomp,Workers' Compensation,1066,Island Ins Cos Grp,81084,57362.773,138446.773,104191.36280949331,103859.28758736709,106019.55401253453,108224.13736917009,109482.46350644447,0.027868245401477164,0.0
wkcomp,Workers' Compensation,1538,Farmers Automobile Grp,190072,82843.676,272915.676,247307.24554277514,247236.71853735112,251190.36134906614,254589.3432169706,256566.6727266143,0.02234234299404049,0.0
wkcomp,Workers' Compensation,1767,State Farm Mut Grp,1049941,907800.548,1957741.548,1360958.616204208,1360069.02852264,1370046.4228110872,1379598.7837451661,1385566.6798211588,0.01035213020433213,0.0
wkcomp,Workers' Compensation,2135,Erie Ins Exchange Grp,1203318,837966.273,2041284.273,1569933.5546440762,1569762.5842745067,1583692.4107272378,1595212.9122975722,1601650.8753941,0.012402427263939591,0.0
wkcomp,Workers' Compensation,2623,Canal Ins Co Grp,37014,19661.293,56675.293000000005,50959.651316130105,48498.539078208836,52970.53601701289,63343.417132787086,72166.3448164196,0.17779552526603956,0.163
wkcomp,Workers' Compensation,2712,Pennsylvania Natl Ins Grp,518744,217420.89,736164.89,634980.8243090578,635178.8900564585,642053.4973438998,649126.2355608465,652892.2455433571,0.017443446573641636,0.0
wkcomp,Workers' Compensation,3034,Preferred Risk Mut Grp,136219,157770.93,293989.93,178241.80855210908,177612.40830660757,196146.25958463908,209005.56190906427,215569.36796118293,0.13096612662459514,0.0
wkcomp,Workers' Compensation,3240,NC Farm Bureau Ins Grp,59001,33410.173,92411.17300000001,78234.16039088613,77920.68914911436,81232.02262692753,92457.90903697211,96878.45709942277,0.1157749350572252,0.101
wkcomp,Workers' Compensation,5010,Capitol Transamerican Grp,180413,182679.504,363092.50399999996,266898.0188895277,265394.51340990455,280142.7858064526,293985.888940466,302169.61022047355,0.0752874965433048,0.0
wkcomp,Workers' Compensation,5185,Grinnell Mut Grp,136455,49532.425,185987.425,167037.78519539692,166879.22823650663,168931.18347951458,170881.36827280052,172216.85691416726,0.01767749521325148,0.0
wkcomp,Workers' Compensation,5940,American Contractors Ins Grp,156861,94187.43,251048.43,223306.20684336414,226542.37797393074,240905.80423899347,253744.05474010177,262492.2789805786,0.11545432643832605,0.1196
wkcomp,Workers' Compensation,6408,Mutual Benefit Grp,58963,19329.749,78292.749,73386.98722095732,73216.54907737316,74790.55821151,76305.49645804848,77233.24518520388,0.029288412328653982,0.0158
wkcomp,Workers' Compensation,6807,Amerisafe Grp,800247,459469.521,1259716.521,954586.2282089657,971523.7525935371,1049410.1495034955,1104179.2252783533,1137516.3193947559,0.12719207397655272,0.0006
wkcomp,Workers' Compensation,7080,New Jersey Manufacturers Grp,1607836,1661362.321,3269198.321,2256345.889401056,2256248.981214742,2270462.885616546,2282173.650636612,2288545.397876405,0.008778264328129403,0.0
wkcomp,Workers' Compensation,8672,Protective Ins Grp,25536,37451.092,62987.092,35455.260543078824,35207.76729873002,36973.99640579269,38557.23419056149,39702.416022335135,0.06754895713415421,0.0
wkcomp,Workers' Compensation,10048,Hyundai Marine & Fire Ins Co Ltd,1500,738.903,2238.9030000000002,3453.3963850508094,2566.7133025369085,3576.5297076205206,5748.060745798256,8773.354546565286,0.7709602050145017,0.6652
wkcomp,Workers' Compensation,10191,MO Employers Mut Ins Co,551004,153000.868,704004.868,634429.1172287262,633835.842704033,642980.8758792944,652373.7451103838,660045.2026330447,0.02216146793338079,0.0
wkcomp,Workers' Compensation,10385,FFVA Mut Ins Co,255473,94292.811,349765.811,319469.37082427804,319061.63008828904,324945.10256049293,330309.4717308884,333407.6647816541,0.02517520918726512,0.0
