line,line_label,GRCODE,GRNAME,paid_to_date,posted_reserve,carried_total,sim_mean_ultimate,sim_p50_ultimate,sim_p75_ultimate,sim_p90_ultimate,sim_p95_ultimate,coeff_of_variation,prob_reserve_shortfall
medmal,Medical Malpractice (Claims-Made),683,Promutual Grp,310893,426046.961,736939.961,600820.6700156621,578371.413411729,669109.9595014716,766894.1577998647,837712.9641853545,0.21077967632492517,0.1318
medmal,Medical Malpractice (Claims-Made),1406,Nationwide Grp,39141,11446.205,50587.205,77249.28235315724,47498.362781388816,62702.43760260496,110938.63274827968,188705.0565481031,1.789896352514558,0.4156
medmal,Medical Malpractice (Claims-Made),10115,Eastern Dentists Ins Co RRG,6908,7970.085,14878.085,10889.181556785248,9915.859258008742,11678.256376323623,14559.994019635647,17226.77218242775,0.3209237102629008,0.0904
medmal,Medical Malpractice (Claims-Made),10232,American Assoc Of Othodontists RRG,3807,5360.508,9167.508,8753.986470579264,6052.515406015451,9372.792139545169,15929.085168014923,22493.64252484927,0.8725083060809633,0.2582
medmal,Medical Malpractice (Claims-Made),10393,Texas Medical Ins Co,1367,3335.655,4702.655000000001,2953.4353640710206,1784.2141911764709,2716.821109031848,6002.202640374333,8619.273309614024,1.0568215084300006,0.1478
medmal,Medical Malpractice (Claims-Made),12260,Campmed Cas & Ind Co Inc MD,3019,8775.698,11794.698,4316.163279484245,4019.331573798814,4783.832856681524,5971.295459666155,6773.103053760493,0.2815487028163881,0.0004
medmal,Medical Malpractice (Claims-Made),15865,NCMIC Ins Co,97812,31643.211,129455.211,139355.70724336285,131813.806679703,158187.46279194782,193720.1983187586,222962.8733072325,0.3044838737285878,0.5294
medmal,Medical Malpractice (Claims-Made),31429,Michigan Professional Ins Exch,18680,11411.311,30091.311,59781.33501752057,46710.961892738975,72529.54774786177,106567.08308500875,137012.95232516289,0.6891317585878776,0.8342
medmal,Medical Malpractice (Claims-Made),33049,State Volunteer Mut Ins Co,153521,441013.031,594534.031,207644.50617077254,201349.9018402485,220284.97063198205,243262.36944760187,260779.75545656827,0.131288206571341,0.0
medmal,Medical Malpractice (Claims-Made),33111,MHA Ins Co,41519,215279.353,256798.353,43996.472624495495,43441.90300031742,44703.00204482608,46341.203575328545,47744.90862178767,0.043769688476901124,0.0
medmal,Medical Malpractice (Claims-Made),35904,Health Care Ind Inc,1038467,23796.378,1062263.378,1485232.2292936672,1479044.641874313,1514926.1069239795,1552350.5735424196,1574640.1779199913,0.03270106786583806,1.0
medmal,Medical Malpractice (Claims-Made),36072,National Guardian RRG Inc,2533,7563.394,10096.394,2740.7643880878913,2735.114608122712,2798.3700743325862,2854.088431269127,2869.0106964888128,0.026377977053334948,0.0
medmal,Medical Malpractice (Claims-Made),36234,Preferred Professional Ins Co,24471,96690.797,121161.797,25054.41616604048,24555.328796412658,24865.50736694753,26686.6770718347,26865.165561691436,0.037534425934834664,0.0
medmal,Medical Malpractice (Claims-Made),36277,Medical Mut Ins Co Of ME,34009,81221.209,115230.209,37490.39696957387,36721.945502918636,37407.19089167495,41037.96048465481,43603.99493467649,0.0703723982264079,0.0
medmal,Medical Malpractice (Claims-Made),36676,Utah Medical Ins Assoc,41374,121130.443,162504.443,50162.60961038109,47099.82665569743,52248.51335262691,60909.149452835474,69194.48342033185,0.19337519664278568,0.0
medmal,Medical Malpractice (Claims-Made),40975,Dentists Ins Co,24349,38895.22,63244.22,24665.907413120694,24588.855592262207,24709.93055668594,25080.078982104525,25229.291897397878,0.010182963999640986,0.0
medmal,Medical Malpractice (Claims-Made),41467,Physicians Recip Insurers,382862,519515.847,902377.8470000001,666149.5108027222,602422.842821317,721275.5113463618,950954.4871222,1166245.0485937884,0.36097220752580295,0.1136
medmal,Medical Malpractice (Claims-Made),43656,Louisiana Med Mut Ins Co,34931,160778.617,195709.617,42555.932779230425,41897.40749936789,43656.29672004011,45960.449732029636,47367.21325776691,0.055609671573167326,0.0
medmal,Medical Malpractice (Claims-Made),44504,California Healthcare Ins Co Inc,10918,46711.837,57629.837,11852.603410558168,11719.55486574782,11983.491281720933,12518.883560928332,12673.507985830223,0.0330896441190576,0.0
