line,line_label,GRCODE,GRNAME,paid_to_date,posted_reserve,carried_total,sim_mean_ultimate,sim_p50_ultimate,sim_p75_ultimate,sim_p90_ultimate,sim_p95_ultimate,coeff_of_variation,prob_reserve_shortfall
othliab,Other Liability (Occurrence),337,California Cas Grp,1,6.381,7.381,1.0,1.0,1.0,1.0,1.0,0.0,0.0
othliab,Other Liability (Occurrence),460,Buckeye Ins Grp,3503,616.76,4119.76,3685.6308953782154,3672.0562744907074,3783.9597186164156,3934.9787272388453,4045.825431722594,0.05092654541986228,0.0296
othliab,Other Liability (Occurrence),558,Auto Club Ins Assn,4166,1620.853,5786.853,4117.101769743391,4260.0608805828315,4347.302623029507,4467.805152095198,4542.67998488095,0.09273936087258543,0.0
othliab,Other Liability (Occurrence),620,Employers Mut Co Of Des Moines,595106,442178.716,1037284.716,900591.6413382633,898170.0237591352,929040.0503008774,955825.6759271761,974547.9837284132,0.04789243869218005,0.0028
othliab,Other Liability (Occurrence),671,Farm Bureau Of MI Grp,7459,1672.951,9131.951000000001,10827.73510997502,10207.177438531002,12052.36956561474,14415.517339985987,15993.33591492821,0.24551098939912197,0.7136
othliab,Other Liability (Occurrence),683,Promutual Grp,6813,10482.866,17295.866,14642.823384437757,12912.713127533725,15549.067548343264,21181.791984712465,26603.270682280698,0.3912778657357588,0.174
othliab,Other Liability (Occurrence),833,Grange Ins Asn Grp,15456,4538.424,19994.424,19380.35659461689,19149.58754747535,20347.94236703116,21560.73051532914,22398.253362150288,0.08631426032694094,0.318
othliab,Other Liability (Occurrence),1066,Island Ins Cos Grp,6664,10950.679,17614.679,16828.96262510875,13517.176257108604,19316.95776175017,29312.589607850627,37055.462045695975,0.6498992442428129,0.2984
othliab,Other Liability (Occurrence),1090,Kentucky Farm Bureau Mut Ins Grp,17656,3672.083,21328.083,21019.980788385736,20435.377745280086,22086.7746909111,25195.198568304688,27964.506554149448,0.14573030641472895,0.3374
othliab,Other Liability (Occurrence),1473,Hochheim Prairie Ins Grp,14792,3814.311,18606.311,17980.577150056542,17834.915199901247,18691.89106033985,19589.07819181505,20126.280322792547,0.06492619044947061,0.2696
othliab,Other Liability (Occurrence),1538,Farmers Automobile Grp,6990,9024.855,16014.855,8940.934333300062,8612.441251066351,9852.263865693247,11092.320045807563,11894.351855493445,0.17700994548255522,0.0004
othliab,Other Liability (Occurrence),1716,Germania Ins Grp,22905,7064.269,29969.269,27938.891206550896,27827.00692511829,28757.04482018394,29719.696959936497,30302.767326504345,0.04742775062226664,0.074
othliab,Other Liability (Occurrence),1767,State Farm Mut Grp,2560824,1136986.341,3697810.341,3696302.212013541,3694763.082995467,3799020.838863539,3887987.9663295387,3931108.991495164,0.037952992403284654,0.4906
othliab,Other Liability (Occurrence),2003,United Services Automobile Asn Grp,247957,189353.934,437310.934,506225.75107896555,445638.9201257006,573396.5510966454,753118.1521151512,827276.9526752462,0.2976199551869382,0.5366
othliab,Other Liability (Occurrence),2135,Erie Ins Exchange Grp,145665,120740.803,266405.803,229682.53690696706,224222.19292996282,246074.46271630598,272153.8659350769,291389.38629159966,0.13843381277400144,0.125
othliab,Other Liability (Occurrence),2143,Farmers Alliance Mut & Affiliates,5592,2962.713,8554.713,6201.575158291436,6163.291753579063,6353.9983208298945,6550.8337874978615,6674.475353891857,0.04013944371344716,0.0
othliab,Other Liability (Occurrence),2208,Oklahoma Farm Grp,4652,2800.273,7452.273,5679.579425800004,5539.036933706606,6038.50644965359,6698.220115060253,7155.9796535794385,0.1342302148269959,0.033
othliab,Other Liability (Occurrence),2259,Occidental Fire & Cas Co Grp,1508,4538.913,6046.913,37642.86495707011,4963.970418551984,15798.274999999998,72625.18918918919,170356.65655161685,3.0447008282209844,0.4502
othliab,Other Liability (Occurrence),2348,Vermont Mut Ins Co Grp,4820,4283.302,9103.302,6133.923765342344,5966.807807777861,6468.392217948975,7196.167287016713,7663.6363381738,0.124820412285646,0.0038
othliab,Other Liability (Occurrence),2623,Canal Ins Co Grp,35008,44721.857,79729.857,68132.33057535756,65505.74614950423,75935.6036721599,87683.82259868887,96024.38789344496,0.21046348877199333,0.186
othliab,Other Liability (Occurrence),3000,Horace Mann Grp,43675,25296.164,68971.164,62140.86785336537,61938.35049640806,64880.58186496182,67968.46286050696,69614.91948597605,0.06870981955756993,0.0674
othliab,Other Liability (Occurrence),3085,Philadelphia CBSP Grp,13586,24425.318,38011.318,35572.65460673116,30457.003869206914,40143.16017106009,55598.48677083925,69585.80207153269,0.49072721986775053,0.291
othliab,Other Liability (Occurrence),3131,Aegis Grp,23,0.0,23.0,25.0008,27.0,27.0,27.0,27.0,0.07999743368212191,0.5002
othliab,Other Liability (Occurrence),3240,NC Farm Bureau Ins Grp,23095,20754.712,43849.712,28920.201078940077,28003.26799875417,30689.57371650979,35279.191803252324,38301.028147103876,0.16257744810856864,0.0112
othliab,Other Liability (Occurrence),5185,Grinnell Mut Grp,153584,47177.411,200761.411,191998.27326148807,191730.46482850995,196070.62846440653,200028.2266579563,202711.05508508248,0.03216014512166047,0.0828
othliab,Other Liability (Occurrence),5320,Cameron Mut Grp,6277,1688.692,7965.692,8171.9294191987065,8015.238935162664,8721.823873587768,9449.530578001008,10045.4203315784,0.11972487699854376,0.5206
othliab,Other Liability (Occurrence),5339,South Carolina Farm Bureau Mut,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
othliab,Other Liability (Occurrence),5690,Farmers Mtl Hail Ins Co Of Ia Grp,7058,13026.644,20084.644,10364.002709671751,9981.161079687019,11355.939323373983,14080.072456965914,15321.983212310502,0.2739811981666867,0.0096
