line,line_label,GRCODE,GRNAME,paid_to_date,posted_reserve,carried_total,sim_mean_ultimate,sim_p50_ultimate,sim_p75_ultimate,sim_p90_ultimate,sim_p95_ultimate,coeff_of_variation,prob_reserve_shortfall
ppauto,Private Passenger Auto,43,IDS Property Cas Ins Co,920835,277117.746,1197952.746,1176389.3739943074,1176005.9012231159,1189723.696113293,1202933.5074542842,1210012.510176653,0.016885452197680645,0.1428
ppauto,Private Passenger Auto,353,Celina Mut Grp,92284,9958.33,102242.33,97719.10539939423,97749.50759496007,98302.78929803078,98762.24465373212,99055.35348059562,0.008595015730378531,0.0
ppauto,Private Passenger Auto,460,Buckeye Ins Grp,39468,9089.785,48557.785,46757.30137900933,46526.50545878129,48555.42593922499,50464.401304681676,51773.51692264493,0.06122907765431483,0.2498
ppauto,Private Passenger Auto,620,Employers Mut Co Of Des Moines,403963,49300.886,453263.886,442289.6510692987,442010.9826126981,444429.0998512824,447073.30819646915,448604.3245691229,0.00781302780630664,0.0002
ppauto,Private Passenger Auto,671,Farm Bureau Of MI Grp,479182,110601.522,589783.522,580390.2275360028,580909.711578496,585402.1652556754,589425.6063080062,591779.2978880237,0.012746665629558241,0.089
ppauto,Private Passenger Auto,965,Secura Ins Co,141928,48398.28,190326.28,174774.99330583066,174464.56714971698,177230.3797513353,180551.31264679495,182909.24929008915,0.024762796549070088,0.0
ppauto,Private Passenger Auto,1066,Island Ins Cos Grp,103270,19473.906,122743.906,116896.90343214605,116550.53758186969,118779.87137154935,120965.9573227892,122412.35257750996,0.02573165593672945,0.0412
ppauto,Private Passenger Auto,1090,Kentucky Farm Bureau Mut Ins Grp,1679670,168249.906,1847919.906,1831497.4334729607,1831471.944058351,1836223.3003236004,1840402.158802538,1842791.5951685219,0.0037038455143609986,0.006
ppauto,Private Passenger Auto,1538,Farmers Automobile Grp,409013,94068.735,503081.735,467131.6163708399,467117.3767482606,469839.6488099595,472324.28422658145,473734.4615641251,0.00860175554524308,0.0
ppauto,Private Passenger Auto,1716,Germania Ins Grp,164949,18336.196,183285.196,181525.37896035356,181211.78475866016,182562.45427601552,183909.28123698244,184549.41692122433,0.008968662258252972,0.164
ppauto,Private Passenger Auto,1767,State Farm Mut Grp,101400750,16467640.82,117868390.82,114557038.86520271,114538796.73025349,114792787.74779603,115040026.31452067,115203182.91809092,0.003114992103082339,0.0
ppauto,Private Passenger Auto,2003,United Services Automobile Asn Grp,16768581,3691597.837,20460178.837,19618549.7529212,19624931.12956065,19685278.932866823,19735084.13891403,19765220.12512946,0.004892239622487057,0.0
ppauto,Private Passenger Auto,2143,Farmers Alliance Mut & Affiliates,80803,13525.131,94328.131,89593.85817012606,89563.04375934179,90445.65075127294,91262.01290129955,91739.13971704214,0.014075412952117238,0.0
ppauto,Private Passenger Auto,2208,Oklahoma Farm Grp,385888,44068.585,429956.585,421961.6643913495,421803.80126962607,423911.17167680897,425890.69934777875,427047.33366765094,0.006856030572944785,0.0022
ppauto,Private Passenger Auto,2259,Occidental Fire & Cas Co Grp,75481,3053.777,78534.777,79434.98720541484,79338.22508122133,79914.24369685262,80679.41534600657,81099.38563278575,0.010800176154602922,0.869
ppauto,Private Passenger Auto,3131,Aegis Grp,32045,1713.622,33758.622,33697.75627564954,33105.30690663515,33505.899219859355,37475.02073201647,37721.0855651292,0.046002249658219176,0.1796
ppauto,Private Passenger Auto,3240,NC Farm Bureau Ins Grp,1185285,186990.081,1372275.081,1315560.205496513,1315442.7111590884,1320404.6546668606,1324627.5754965693,1327024.0406020207,0.0052141541296154776,0.0
ppauto,Private Passenger Auto,4839,FL Farm Bureau Grp,3186818,458439.749,3645257.749,3456323.556518883,3456248.694068184,3462215.591484572,3467435.2435531653,3470544.2388198664,0.0024816421846356,0.0
ppauto,Private Passenger Auto,5185,Grinnell Mut Grp,303908,60258.829,364166.829,350083.5642503432,349953.1854346718,352550.70707694173,354974.35022242606,356447.12344982754,0.010551188398284431,0.0
ppauto,Private Passenger Auto,5320,Cameron Mut Grp,55772,9998.789,65770.789,62972.76792764113,62476.19403064549,64575.019586143884,66328.94941424976,67387.25279024764,0.03953178482607008,0.1428
ppauto,Private Passenger Auto,5690,Farmers Mtl Hail Ins Co Of Ia Grp,30278,1975.2,32253.2,31989.74231600609,31877.70170491768,32413.984247508262,32912.77593907057,33221.265026618785,0.020661670463287863,0.3172
ppauto,Private Passenger Auto,6947,Tenn Farmers Mut,1434038,169311.44,1603349.44,1580345.2882933286,1579964.256275615,1584882.0334735946,1589165.8699634627,1591819.4770320633,0.00425436433627974,0.0006
ppauto,Private Passenger Auto,7080,New Jersey Manufacturers Grp,2259932,993465.463,3253397.463,3125235.766194024,3123043.8628420033,3172544.8223604034,3218181.159785422,3242742.136474114,0.022224287498869566,0.0378
ppauto,Private Passenger Auto,8427,Farm Bureau Grp,207987,32351.203,240338.203,234229.39267531995,233912.04358410614,236461.9594012303,239179.2003984828,240614.39963277857,0.01499252374745275,0.0576
ppauto,Private Passenger Auto,8672,Protective Ins Grp,122401,11197.72,133598.72,129998.29383279024,129976.88156189385,130561.21359242618,131107.94224107047,131412.3734763532,0.006531807596885152,0.0
ppauto,Private Passenger Auto,10007,Nevada General Ins Co,45250,7823.599,53073.599,51746.27209303514,51625.35593952621,52195.971213031735,53325.58499678925,53713.823753716555,0.01906353172695295,0.1314
ppauto,Private Passenger Auto,10022,Agway Ins Co,47643,11326.8,58969.8,58746.752062626205,58522.317425655536,59960.73293219,61443.44123557111,62327.21750295492,0.033466094676443715,0.4146
ppauto,Private Passenger Auto,10204,Consumers Ins Usa Inc,24291,6522.616,30813.616,26522.653661783137,26504.8107888706,26712.856335401266,26920.268205257984,27050.89332842935,0.011357024856979467,0.0
ppauto,Private Passenger Auto,10308,Antilles Ins Co,277,633.356,910.356,286.21897045478227,283.1665277777778,290.09090909090907,298.69230769230774,303.19384615384615,0.03163742171760443,0.0
