line,line_label,GRCODE,GRNAME,paid_to_date,posted_reserve,carried_total,sim_mean_ultimate,sim_p50_ultimate,sim_p75_ultimate,sim_p90_ultimate,sim_p95_ultimate,coeff_of_variation,prob_reserve_shortfall
prodliab,Product Liability (Occurrence),78,Federated Mut Grp,106972,92391.12,199363.12,137399.63588897669,135819.55838591556,144009.447227039,152589.25650630458,158328.2100908747,0.08364415562364572,0.0
prodliab,Product Liability (Occurrence),86,Allstate Ins Co Grp,21698,1411339.651,1433037.651,33066.7800298442,32162.530900312304,35918.85426493959,40141.215490354654,42757.496607965855,0.16127705019523828,0.0
prodliab,Product Liability (Occurrence),353,Celina Mut Grp,2564,821.002,3385.002,2994.4436756185264,2674.587180018689,3049.0060937076823,3856.2511919846665,4179.243698781474,0.23774158253756997,0.19
prodliab,Product Liability (Occurrence),620,Employers Mut Co Of Des Moines,39887,59891.212,99778.212,77598.89364435614,72121.25539378118,84932.70377139602,102962.90743190821,115672.6144721004,0.27560379688476216,0.1168
prodliab,Product Liability (Occurrence),667,Everest Reins Grp,2957,5050.853,8007.853,7122.404794466304,6547.33525299493,8309.994655941024,10514.775143507386,12124.547272549322,0.351489511630463,0.279
prodliab,Product Liability (Occurrence),833,Grange Ins Asn Grp,274,0.0,274.0,274.0,274.0,274.0,274.0,274.0,0.0,0.0
prodliab,Product Liability (Occurrence),1066,Island Ins Cos Grp,9034,6129.858,15163.858,25995.858920633607,22210.909241867477,30847.847619003514,42404.71354767416,52929.731454835455,0.5099116325708574,0.846
prodliab,Product Liability (Occurrence),1236,Shelter Ins Cos Grp,145,-2.812,142.188,145.0,145.0,145.0,145.0,145.0,0.0,1.0
prodliab,Product Liability (Occurrence),1538,Farmers Automobile Grp,1321,2190.498,3511.498,2470.205677749952,2113.1359259281808,2949.5870061322967,3972.291477536091,4647.005458191799,0.4498342273837623,0.1454
prodliab,Product Liability (Occurrence),2143,Farmers Alliance Mut & Affiliates,605,72.169,677.169,1024.7476236950117,735.3743787743787,1134.4781818181818,1587.6555555555553,2340.3432766044207,0.6440125958037376,0.5914
prodliab,Product Liability (Occurrence),2712,Pennsylvania Natl Ins Grp,25035,25922.001,50957.001000000004,76469.07703826018,74181.38866347326,85665.03847368187,97752.3131325606,106007.8401568598,0.2084595725853337,0.9862
prodliab,Product Liability (Occurrence),5185,Grinnell Mut Grp,9740,11633.816,21373.816,22228.689290479288,21475.594804736065,25538.166712907212,29793.424217991647,33089.53256016031,0.26447611926396375,0.5078
prodliab,Product Liability (Occurrence),6459,Oregon Mut Grp,3431,4505.465,7936.465,5917.377395924637,5290.7096799039355,6620.2526261358435,8186.343153622084,9587.646810638626,0.3051989902115318,0.1174
prodliab,Product Liability (Occurrence),6980,North Star Co,2330,706.474,3036.474,2678.0599170075425,2639.4611580734236,2763.61401442005,2923.5894246671273,3014.8571329105403,0.06253288217183398,0.042
prodliab,Product Liability (Occurrence),7625,Franklin Mut Ins Grp,33,0.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,0.0
prodliab,Product Liability (Occurrence),7838,RLI Ins Co Grp,17270,27549.277,44819.277,45164.34588727016,34902.74571331678,42838.57608291058,82745.90418117358,106341.34460808919,0.6514561512981956,0.2196
prodliab,Product Liability (Occurrence),8079,Columbia Ins Grp,1042,7.954,1049.954,1865.8612367007174,1172.674881732661,1372.8755105397747,4189.211920886035,6782.867788511112,1.1097271654449687,0.7772
prodliab,Product Liability (Occurrence),9571,American Re Grp,13608,34150.505,47758.505,33885.23442802464,33885.23442802465,33885.23442802465,33885.23442802465,33885.23442802465,2.1472354366142073e-16,0.0
prodliab,Product Liability (Occurrence),10308,Antilles Ins Co,316,188.96,504.96000000000004,576.4719539091874,507.4065934065934,663.7604895104895,896.125,1022.9253580721603,0.39619379029733953,0.5076
prodliab,Product Liability (Occurrence),11126,Yasuda Fire & Marine Ins Co Of Amer,9050,11889.827,20939.826999999997,865084.7906044899,65609.74153670183,245624.56030125343,1027058.4696587037,2757381.5812799386,6.858777504148898,0.7404
prodliab,Product Liability (Occurrence),12260,Campmed Cas & Ind Co Inc MD,2904,4616.621,7520.621,10221.758263825823,7062.793654730577,12032.499719784008,19240.67372469387,26325.373774061874,0.8921496599978949,0.4596
prodliab,Product Liability (Occurrence),13439,Partners Mut Ins Co,305,0.0,305.0,637.5607811941934,622.4109872790724,690.4067544748395,764.4170108850959,792.7728920409772,0.13589880679283983,1.0
prodliab,Product Liability (Occurrence),14044,Goodville Mut Cas Co,20,0.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0
prodliab,Product Liability (Occurrence),14257,IMT Ins Co Mut,994,145.616,1139.616,1450.4085250492187,1144.6330920923526,1485.625,1883.7330811265238,2793.570642146561,0.8368779486189025,0.5084
prodliab,Product Liability (Occurrence),14508,Michigan Millers Mut Ins Co,19,0.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0
prodliab,Product Liability (Occurrence),15792,Underwriters At Lloyds London,108,3803.111,3911.111,108.0,108.0,108.0,108.0,108.0,0.0,0.0
prodliab,Product Liability (Occurrence),18163,Cooperativa D Seguros Multiples PR,4,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
prodliab,Product Liability (Occurrence),18791,Virginia Mut Ins Co,34,42.254,76.25399999999999,34.0,34.0,34.0,34.0,34.0,0.0,0.0
prodliab,Product Liability (Occurrence),23663,National American Ins Co,4927,2325.049,7252.049,5491.371668359161,5452.797013307971,5701.441132025898,5985.524041668374,6069.556885483846,0.05831599493981943,0.0
prodliab,Product Liability (Occurrence),32301,Nichido Fire & Marine Ins Co Ltd,4104,235.244,4339.244,4849.736541145611,4833.651115197837,4906.19379597477,4984.706362272993,5045.404543544984,0.021317691875582568,1.0
prodliab,Product Liability (Occurrence),35408,Sirius Amer Ins Co,444,99.909,543.909,444.8152,444.0,444.0,448.0,448.0,0.0036223761726421272,0.0
prodliab,Product Liability (Occurrence),37206,Contractors Bonding & Ins Co,529,297.111,826.111,560.5777644072361,558.7981948515333,576.209384732353,606.517132455295,608.4626119855802,0.04211702002088658,0.0
prodliab,Product Liability (Occurrence),38300,Samsung Fire & Marine Ins Co Ltd,7444,8298.647,15742.647,23511.82943790425,20503.01684435551,27592.99254602158,37212.30846197463,44817.051269766715,0.4770716738540927,0.7756
prodliab,Product Liability (Occurrence),38733,Alaska Nat Ins Co,701,2130.728,2831.728,803.9098548644504,708.165625,806.3677325581396,949.2857142857142,1298.9139230972523,0.3997393514150271,0.0054
